Payment type,Date,Time,Store name,Payment context,Device name,Device ID,Status,Sales
PAYMENT,2026-09-17,21:16:29,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,35.34
PAYMENT,2026-09-17,21:16:19,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,35.33
PAYMENT,2026-09-17,21:16:06,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,35.33
PAYMENT,2026-09-17,21:09:01,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,7.2
PAYMENT,2026-09-17,20:48:51,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,160
PAYMENT,2026-09-17,20:44:24,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,46.15
PAYMENT,2026-09-17,20:44:09,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,FAILED,46.15
PAYMENT,2026-09-17,20:37:50,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,7
PAYMENT,2026-09-17,20:23:15,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,56.2
PAYMENT,2026-09-17,20:13:15,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,42.45
PAYMENT,2026-09-17,20:12:39,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,3.3
PAYMENT,2026-09-17,19:51:05,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,5.8
PAYMENT,2026-09-17,19:50:19,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,7
PAYMENT,2026-09-17,19:47:52,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,800
PAYMENT,2026-09-17,19:45:21,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,3.05
PAYMENT,2026-09-17,19:40:18,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,56.45
PAYMENT,2026-09-17,19:38:33,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,11.55
PAYMENT,2026-09-17,19:37:11,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,20.55
PAYMENT,2026-09-17,19:26:54,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,2171.75
PAYMENT,2026-09-17,19:05:54,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,75.65
PAYMENT,2026-09-17,19:03:29,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🥂,7KckI3g7,SUCCEEDED,42.8
PAYMENT,2026-09-17,18:58:34,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,13.35
PAYMENT,2026-09-17,18:53:04,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,29
PAYMENT,2026-09-17,18:34:06,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,14.2
PAYMENT,2026-09-17,18:24:57,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,30.25
PAYMENT,2026-09-17,18:00:42,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,8.65
PAYMENT,2026-09-17,17:49:47,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,14.8
PAYMENT,2026-09-17,17:33:02,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,13.3
PAYMENT,2026-09-17,17:32:52,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,13.3
PAYMENT,2026-09-17,17:30:57,"The Windmill Inn, Littleworth",TERMINAL,Terminal 🧆,oOj2CqaI,SUCCEEDED,9.35
